page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://ksalpenquai.lu.ch/Sitemap;Yes;No;No;N/A;N/A;The page is a sitemap for Kantonsschule Alpenquai Luzern, covering various topics including ICT and software for BYOD classes.
https://vif.lu.ch/down_load/vorlagen;No;No;No;N/A;N/A;The page provides various templates for partners, including reports and project management documents.
https://sport.lu.ch/j_s/TRAININGplus;Yes;No;No;N/A;N/A;The page discusses TRAININGplus, a software platform introduced for sports coaches to manage course registrations and other related information.
https://rawi.lu.ch/down_loads/downloads_geo/av_handbuch/av_handbuch_stufe_kanton;No;Yes;No;Webpage;Maps, infrastructures and territorial planning;The page provides guidelines and instructions related to geoinformation and official surveying in the Canton of Luzern.
https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Informationen_Coronavirus/Testangebote;No;No;No;N/A;N/A;The page returned a 404 error, indicating that the content is not available.
https://wahlen.lu.ch/krat/wahlvorbereitung/wahlanleitung;No;No;No;N/A;N/A;The page provides information about the candidates for the 2023 elections in the Luzerner Kantonsrat.
https://gerichte.lu.ch/rechtsgebiete/ehe_und_familie/unterhalt/wird_nicht_bezahlt/strafverfahren;No;No;No;N/A;N/A;The page provides information on how to initiate a criminal procedure against someone who fails to meet maintenance obligations.
https://informatik.lu.ch/Organisation;Yes;No;No;N/A;N/A;The page outlines the organizational structure of the IT department in the Canton of Luzern, detailing various responsibilities including software and hardware management.
https://ksalpenquai.lu.ch/ICT/BYOD_Klassen;Yes;Yes;Yes;Webpage;Education;The page provides guidelines for students in BYOD classes, including software and hardware requirements, as well as setup instructions for Microsoft Office 365.
https://steuern.lu.ch/steuererklaerung/obeam;Yes;Yes;No;Webpage;Finance and taxes;The page provides information about oBeam, a mobile scan app designed to simplify the process of submitting tax returns electronically.
https://kultur.lu.ch/Ausschreibungen/Selektive_Foerderung/archiv/Kezia_Zurbruegg_und_Philipp_Ritler;No;No;No;N/A;N/A;The page discusses the work of Kezia Zurbrügg and Philipp Ritler in the field of documentary and fictional film direction.
